PROFILE,TRACK2,AIP,IAD,3DES_KENC,3DES_KMAC,3DES_KDEK,PIN,RSA_CRT_P,RSA_CRT_Q,RSA_CRT_DP,RSA_CRT_DQ,RSA_CRT_QINV
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
Mastercard,5413330337554966D25122012916230185,,,9804204313D3208A8A79894AF8978929,4045942FE610AB02A4514F682AA292A7,C8047AAED002855238E9042C76109183,,,,,,
